"record_number","position_x","position_y","position_z","rotation_quaternion_x","rotation_quaternion_y","rotation_quaternion_z","rotation_quaternion_w","speed","gforce_x","gforce_y","gforce_z"
0,10.334858894348145,7.838536739349365,54.39125061035156,-0.00040731593617238104,0.5383927822113037,0.0010034635197371244,0.8426933288574219,0.0,0.0,-0.0,0.0
1,10.3324613571167,7.838531970977783,54.390140533447266,-0.00040734518552199006,0.5383924841880798,0.001003929297439754,0.8426935076713562,0.15693256258964539,-0.001250959001481533,0.999996542930603,0.02794322930276394
2,10.296403884887695,7.838458061218262,54.37346649169922,-0.0004077937628608197,0.5383870005607605,0.0010109455324709415,0.8426971435546875,0.6284634470939636,-0.001133567770011723,0.999975860118866,0.20614291727542877
3,10.217063903808594,7.838294506072998,54.33677291870117,-0.00040883879410102963,0.538374662399292,0.0010264769662171602,0.8427048921585083,1.0999505519866943,-0.0010556457564234734,0.9999632239341736,0.3843642771244049
4,10.094630241394043,7.838038444519043,54.28014373779297,-0.0004106008855160326,0.5383553504943848,0.0010507230181246996,0.8427172303199768,1.5708165168762207,-0.0010224125580862164,0.999939501285553,0.47355687618255615
5,9.929065704345703,7.837686538696289,54.203556060791016,-0.0004133063484914601,0.5383285880088806,0.001084029907360673,0.8427342176437378,2.041595935821533,-0.0011310296831652522,0.9999246597290039,0.47360286116600037
6,9.725382804870605,7.83724308013916,54.10932159423828,-0.0004171891778241843,0.5382945537567139,0.0011258331360295415,0.842755913734436,2.182114362716675,-0.0012175006559118629,0.9998877048492432,0.4109891951084137
7,9.518899917602539,7.836782932281494,54.013771057128906,-0.0004218077228870243,0.5382587909698486,0.0011691841064020991,0.8427786827087402,2.3226699829101562,-0.0015059089055284858,0.9998818635940552,0.22341814637184143
8,9.314468383789062,7.836315631866455,53.91915512084961,-0.00042712679714895785,0.5382218360900879,0.0012131057446822524,0.8428022265434265,2.1327285766601562,-0.0016282997094094753,0.9998862147331238,0.035749368369579315
9,9.112255096435547,7.835840702056885,53.82554626464844,-0.0004332053067628294,0.5381839275360107,0.0012575557921081781,0.8428263664245605,2.2735209465026855,-0.0017693856498226523,0.9998791217803955,-0.026808680966496468
10,8.912261009216309,7.835359573364258,53.732948303222656,-0.0004400963371153921,0.5381448268890381,0.0013025336666032672,0.8428512811660767,2.0835704803466797,-0.0018328508595004678,0.9998760223388672,-0.026814473792910576
11,8.714794158935547,7.834871768951416,53.64149856567383,-0.0004478473565541208,0.5381045341491699,0.001347987330518663,0.8428769707679749,2.2242650985717773,-0.0019095911411568522,0.9998763799667358,-0.026859773322939873
12,8.51451587677002,7.834364414215088,53.54872512817383,-0.0004567670985125005,0.5380617380142212,0.0013951931614428759,0.8429041504859924,2.3649985790252686,-0.0020068532321602106,0.9998666048049927,0.03567429259419441
13,8.306624412536621,7.833823204040527,53.45240783691406,-0.00046726915752515197,0.5380153656005859,0.0014454324264079332,0.842933714389801,2.1756248474121094,-0.001998918130993843,0.9998648762702942,0.03569146990776062
14,8.101274490356445,7.833273887634277,53.357242584228516,-0.0004790220409631729,0.5379671454429626,0.0014963645953685045,0.8429643511772156,2.314450740814209,-0.0021073147654533386,0.9998487234115601,0.03378415107727051
